task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
83	d0/c53a79	60983	kraken_pipeline:output_results (6)	COMPLETED	0	2024-05-24 15:23:48.155	618ms	7ms	72.7%	0	0	32.8 KB	196 B
81	f7/164649	60924	kraken_pipeline:output_results (4)	COMPLETED	0	2024-05-24 15:23:48.107	708ms	4ms	0.0%	0	0	32.7 KB	193 B
82	4c/451de3	60982	kraken_pipeline:output_results (5)	COMPLETED	0	2024-05-24 15:23:48.153	714ms	4ms	0.0%	0	0	32.7 KB	193 B
84	4d/0c3ae6	61050	kraken_pipeline:output_results (7)	COMPLETED	0	2024-05-24 15:23:48.700	649ms	3ms	0.0%	0	0	32.7 KB	193 B
85	12/b6c17e	61084	kraken_pipeline:output_results (8)	COMPLETED	0	2024-05-24 15:23:48.777	613ms	6ms	0.0%	0	0	32.7 KB	193 B
86	1f/f45fa2	61108	kraken_pipeline:output_results (9)	COMPLETED	0	2024-05-24 15:23:48.817	609ms	2ms	0.0%	0	0	32.7 KB	193 B
87	67/70229a	61132	kraken_pipeline:output_results (10)	COMPLETED	0	2024-05-24 15:23:48.869	602ms	4ms	0.0%	0	0	32.7 KB	193 B
88	76/c428d2	61183	kraken_pipeline:output_results (11)	COMPLETED	0	2024-05-24 15:23:49.354	564ms	3ms	0.0%	0	0	32.7 KB	193 B
79	47/be4560	60898	kraken_pipeline:output_kraken2_read_assignments (424)	COMPLETED	0	2024-05-24 15:23:48.068	2.5s	2s	185.1%	449.2 MB	1.1 GB	437.3 MB	7.9 MB
89	3f/ca8a44	61221	kraken_pipeline:output_results (12)	COMPLETED	0	2024-05-24 15:23:50.534	298ms	1ms	0.0%	0	0	32.7 KB	193 B
69	bc/9673ee	60549	kraken_pipeline:run_bracken (424)	COMPLETED	0	2024-05-24 15:23:37.238	17.7s	17.3s	113.2%	423.9 MB	770.3 MB	512.4 MB	26.8 MB
90	3d/34128a	61263	kraken_pipeline:createAbundanceTables	COMPLETED	0	2024-05-24 15:23:54.912	7.6s	7.3s	106.8%	421.1 MB	770.3 MB	46.8 MB	26.7 MB
100	72/9aa5e3	61324	kraken_pipeline:output_results (13)	COMPLETED	0	2024-05-24 15:24:02.561	411ms	3ms	0.0%	0	0	32.7 KB	193 B
97	50/8852bf	61345	kraken_pipeline:makeReport (7)	COMPLETED	0	2024-05-24 15:24:02.580	22.8s	22.1s	97.6%	421.4 MB	839.6 MB	66.1 MB	32.2 MB
91	37/118cbd	61347	kraken_pipeline:makeReport (1)	COMPLETED	0	2024-05-24 15:24:02.582	22.9s	22.1s	97.9%	422.1 MB	836.6 MB	66.1 MB	32.2 MB
